MTH,KAM_POC,REST_ID,BRAND_NAME,BUSINESS_ENTITY,CLASSIFIER,CITY,CITY_CLASSIFICATION,CPV_IMPRESSION,CPV_CLICK,CPV_ORDER,CPV_GMV,CPV_REVENUE
2025-07,Akash Chhawchharia,780104,WeFit-Bowls_Salads_and_Sandwiches,Eatclub_Brands_Private_Limited,Nat_Core,Bangalore,India_1,1343,9,,,134.3
2025-07,Akash Chhawchharia,409501,Mealful_Rolls_India's_Biggest_Rolls,Eatclub_Brands_Private_Limited,Nat_Core,Bangalore,India_1,175,1,,,17.5
2025-07,Akash Chhawchharia,854356,BOOM_Sandwich_Explosion_of_Flavours,Eatclub_Brands_Private_Limited,Nat_Core,Gurgaon,India_1,210,0,,,21
2025-07,Akash Chhawchharia,62864,LunchBox,Rebel_Foods_Pvt_Ltd,Nat_Core,Hyderabad,India_1,8771,48,,,877.1
2025-07,Akash Chhawchharia,62954,LunchBox,Rebel_Foods_Pvt_Ltd,Nat_Core,Bangalore,India_1,5517,22,,,551.7
2025-07,Akash Chhawchharia,750327,Daily_Kitchen_Homestyle_Meals,Eatclub_Brands_Private_Limited,Nat_Core,Noida 1,India_1,2409,10,1,239.675003052,240.9
2025-07,Akash Chhawchharia,692223,BOOM_Sandwich_Explosion_of_Flavours,Eatclub_Brands_Private_Limited,Nat_Core,Noida 1,India_1,523,5,,,52.3
2025-07,Akash Chhawchharia,158558,LunchBox,Rebel_Foods_Pvt_Ltd,Nat_Core,Chennai,India_1,5562,51,1,691.600036621,556.2
2025-07,Akash Chhawchharia,732732,WeFit-Bowls_Salads_and_Sandwiches,Eatclub_Brands_Private_Limited,Nat_Core,Delhi,India_1,2965,15,2,955.800018311,296.5
2025-07,Akash Chhawchharia,692135,BOOM_Sandwich_Explosion_of_Flavours,Eatclub_Brands_Private_Limited,Nat_Core,Bangalore,India_1,394,0,,,39.4
2025-07,Akash Chhawchharia,708384,BOOM_Sandwich_Explosion_of_Flavours,Eatclub_Brands_Private_Limited,Nat_Core,Kolkata,India_1,395,6,,,39.5
2025-07,Akash Chhawchharia,692092,BOOM_Sandwich_Explosion_of_Flavours,Eatclub_Brands_Private_Limited,Nat_Core,Mumbai,India_1,140,3,,,14
2025-07,Akash Chhawchharia,1054104,Dabba_&_Co.,Rebel_Foods_Pvt_Ltd,Nat_Core,Bangalore,India_1,897,13,1,244.650009155,89.7
2025-07,Akash Chhawchharia,692193,BOOM_Sandwich_Explosion_of_Flavours,Eatclub_Brands_Private_Limited,Nat_Core,Bangalore,India_1,109,0,,,10.9
2025-07,Akash Chhawchharia,750279,Daily_Kitchen_Homestyle_Meals,Eatclub_Brands_Private_Limited,Nat_Core,Mumbai,India_1,725,5,,,72.5
